,Filename,Model,Name,Species,n_elect,ENMAX
56,potpaw_PBE/Ce/POTCAR,gga-pbe,Ce-gga-pbe,['Ce'],12.0,273.042
57,potpaw_PBE/Ce_3/POTCAR,gga-pbe,Ce_3-gga-pbe,['Ce'],11.0,176.506
58,potpaw_PBE/Ce_GW/POTCAR,gga-pbe,Ce_GW-gga-pbe,['Ce'],12.0,304.625
59,potpaw_PBE/Ce_h/POTCAR,gga-pbe,Ce_h-gga-pbe,['Ce'],12.0,299.9
60,potpaw_PBE/Cf/POTCAR,gga-pbe,Cf-gga-pbe,['Cf'],20.0,414.614
61,potpaw_PBE/Cl/POTCAR,gga-pbe,Cl-gga-pbe,['Cl'],7.0,262.472
62,potpaw_PBE/Cl_GW/POTCAR,gga-pbe,Cl_GW-gga-pbe,['Cl'],7.0,262.472
63,potpaw_PBE/Cl_h/POTCAR,gga-pbe,Cl_h-gga-pbe,['Cl'],7.0,409.136
64,potpaw_PBE/Cm/POTCAR,gga-pbe,Cm-gga-pbe,['Cm'],18.0,257.953
65,potpaw_PBE/Co/POTCAR,gga-pbe,Co-gga-pbe,['Co'],9.0,267.968
66,potpaw_PBE/Co_GW/POTCAR,gga-pbe,Co_GW-gga-pbe,['Co'],9.0,323.4
67,potpaw_PBE/Co_pv/POTCAR,gga-pbe,Co_pv-gga-pbe,['Co'],15.0,271.042
68,potpaw_PBE/Co_sv/POTCAR,gga-pbe,Co_sv-gga-pbe,['Co'],17.0,390.362
69,potpaw_PBE/Co_sv_GW/POTCAR,gga-pbe,Co_sv_GW-gga-pbe,['Co'],17.0,387.491
70,potpaw_PBE/Cr/POTCAR,gga-pbe,Cr-gga-pbe,['Cr'],6.0,227.08
71,potpaw_PBE/Cr_pv/POTCAR,gga-pbe,Cr_pv-gga-pbe,['Cr'],12.0,265.681
72,potpaw_PBE/Cr_sv/POTCAR,gga-pbe,Cr_sv-gga-pbe,['Cr'],14.0,395.471
73,potpaw_PBE/Cr_sv_GW/POTCAR,gga-pbe,Cr_sv_GW-gga-pbe,['Cr'],14.0,384.932
74,potpaw_PBE/Cs/POTCAR,gga-pbe,Cs-gga-pbe,['Cs'],9.0,220.318
75,potpaw_PBE/Cs_sv/POTCAR,gga-pbe,Cs_sv-gga-pbe,['Cs'],9.0,220.318
76,potpaw_PBE/Cs_sv_GW/POTCAR,gga-pbe,Cs_sv_GW-gga-pbe,['Cs'],9.0,198.101
77,potpaw_PBE/Cu/POTCAR,gga-pbe,Cu-gga-pbe,['Cu'],11.0,295.446
78,potpaw_PBE/Cu_GW/POTCAR,gga-pbe,Cu_GW-gga-pbe,['Cu'],11.0,417.039
79,potpaw_PBE/Cu_pv/POTCAR,gga-pbe,Cu_pv-gga-pbe,['Cu'],17.0,368.648
80,potpaw_PBE/Cu_pv_GW/POTCAR,gga-pbe,Cu_pv_GW-gga-pbe,['Cu'],17.0,467.331
81,potpaw_PBE/Cu_sv_GW/POTCAR,gga-pbe,Cu_sv_GW-gga-pbe,['Cu'],19.0,391.688
82,potpaw_PBE/Dy/POTCAR,gga-pbe,Dy-gga-pbe,['Dy'],20.0,255.467
83,potpaw_PBE/Dy_3/POTCAR,gga-pbe,Dy_3-gga-pbe,['Dy'],9.0,155.713
84,potpaw_PBE/Er/POTCAR,gga-pbe,Er-gga-pbe,['Er'],22.0,298.116
85,potpaw_PBE/Er_2/POTCAR,gga-pbe,Er_2-gga-pbe,['Er'],8.0,119.75
86,potpaw_PBE/Er_3/POTCAR,gga-pbe,Er_3-gga-pbe,['Er'],9.0,155.037
87,potpaw_PBE/Eu/POTCAR,gga-pbe,Eu-gga-pbe,['Eu'],17.0,249.668
88,potpaw_PBE/Eu_2/POTCAR,gga-pbe,Eu_2-gga-pbe,['Eu'],8.0,99.328
89,potpaw_PBE/Eu_3/POTCAR,gga-pbe,Eu_3-gga-pbe,['Eu'],9.0,129.057
90,potpaw_PBE/F/POTCAR,gga-pbe,F-gga-pbe,['F'],7.0,400.0
91,potpaw_PBE/F_GW/POTCAR,gga-pbe,F_GW-gga-pbe,['F'],7.0,487.698
92,potpaw_PBE/F_GW_new/POTCAR,gga-pbe,F_GW_new-gga-pbe,['F'],7.0,487.698
93,potpaw_PBE/F_h/POTCAR,gga-pbe,F_h-gga-pbe,['F'],7.0,772.626
94,potpaw_PBE/F_h_GW/POTCAR,gga-pbe,F_h_GW-gga-pbe,['F'],7.0,848.626
95,potpaw_PBE/F_s/POTCAR,gga-pbe,F_s-gga-pbe,['F'],7.0,289.837
96,potpaw_PBE/Fe/POTCAR,gga-pbe,Fe-gga-pbe,['Fe'],8.0,267.882
97,potpaw_PBE/Fe_GW/POTCAR,gga-pbe,Fe_GW-gga-pbe,['Fe'],8.0,321.007
98,potpaw_PBE/Fe_pv/POTCAR,gga-pbe,Fe_pv-gga-pbe,['Fe'],14.0,293.238
99,potpaw_PBE/Fe_sv/POTCAR,gga-pbe,Fe_sv-gga-pbe,['Fe'],16.0,390.558
100,potpaw_PBE/Fe_sv_GW/POTCAR,gga-pbe,Fe_sv_GW-gga-pbe,['Fe'],16.0,387.837
101,potpaw_PBE/Fr_sv/POTCAR,gga-pbe,Fr_sv-gga-pbe,['Fr'],9.0,214.54
102,potpaw_PBE/Ga/POTCAR,gga-pbe,Ga-gga-pbe,['Ga'],3.0,134.678
103,potpaw_PBE/Ga_GW/POTCAR,gga-pbe,Ga_GW-gga-pbe,['Ga'],3.0,134.678
104,potpaw_PBE/Ga_d/POTCAR,gga-pbe,Ga_d-gga-pbe,['Ga'],13.0,282.691
105,potpaw_PBE/Ga_d_GW/POTCAR,gga-pbe,Ga_d_GW-gga-pbe,['Ga'],13.0,404.602
106,potpaw_PBE/Ga_h/POTCAR,gga-pbe,Ga_h-gga-pbe,['Ga'],13.0,404.601
107,potpaw_PBE/Ga_pv_GW/POTCAR,gga-pbe,Ga_pv_GW-gga-pbe,['Ga'],19.0,423.002
108,potpaw_PBE/Ga_sv_GW/POTCAR,gga-pbe,Ga_sv_GW-gga-pbe,['Ga'],21.0,404.602
109,potpaw_PBE/Gd/POTCAR,gga-pbe,Gd-gga-pbe,['Gd'],18.0,256.472
110,potpaw_PBE/Gd_3/POTCAR,gga-pbe,Gd_3-gga-pbe,['Gd'],9.0,154.332
