,Filename,Model,Name,Species,n_elect,ENMAX
237,potpaw_PBE/Pm_3/POTCAR,gga-pbe,Pm_3-gga-pbe,['Pm'],11.0,176.959
238,potpaw_PBE/Po/POTCAR,gga-pbe,Po-gga-pbe,['Po'],6.0,159.707
239,potpaw_PBE/Po_d/POTCAR,gga-pbe,Po_d-gga-pbe,['Po'],16.0,264.565
240,potpaw_PBE/Po_d_GW/POTCAR,gga-pbe,Po_d_GW-gga-pbe,['Po'],18.0,267.847
241,potpaw_PBE/Po_sv_GW/POTCAR,gga-pbe,Po_sv_GW-gga-pbe,['Po'],24.0,326.618
242,potpaw_PBE/Pr/POTCAR,gga-pbe,Pr-gga-pbe,['Pr'],13.0,272.941
243,potpaw_PBE/Pr_3/POTCAR,gga-pbe,Pr_3-gga-pbe,['Pr'],11.0,181.719
244,potpaw_PBE/Pt/POTCAR,gga-pbe,Pt-gga-pbe,['Pt'],10.0,230.283
245,potpaw_PBE/Pt_GW/POTCAR,gga-pbe,Pt_GW-gga-pbe,['Pt'],10.0,248.716
246,potpaw_PBE/Pt_pv/POTCAR,gga-pbe,Pt_pv-gga-pbe,['Pt'],16.0,294.607
247,potpaw_PBE/Pt_pv_GW/POTCAR,gga-pbe,Pt_pv_GW-gga-pbe,['Pt'],16.0,248.716
248,potpaw_PBE/Pt_sv_GW/POTCAR,gga-pbe,Pt_sv_GW-gga-pbe,['Pt'],18.0,323.669
249,potpaw_PBE/Pu/POTCAR,gga-pbe,Pu-gga-pbe,['Pu'],16.0,254.353
250,potpaw_PBE/Pu_s/POTCAR,gga-pbe,Pu_s-gga-pbe,['Pu'],16.0,207.83
251,potpaw_PBE/Ra_sv/POTCAR,gga-pbe,Ra_sv-gga-pbe,['Ra'],10.0,237.367
252,potpaw_PBE/Rb/POTCAR,gga-pbe,Rb-gga-pbe,['Rb'],9.0,220.022
253,potpaw_PBE/Rb_pv/POTCAR,gga-pbe,Rb_pv-gga-pbe,['Rb'],7.0,121.882
254,potpaw_PBE/Rb_sv/POTCAR,gga-pbe,Rb_sv-gga-pbe,['Rb'],9.0,220.112
255,potpaw_PBE/Rb_sv_GW/POTCAR,gga-pbe,Rb_sv_GW-gga-pbe,['Rb'],9.0,221.197
256,potpaw_PBE/Re/POTCAR,gga-pbe,Re-gga-pbe,['Re'],7.0,226.216
257,potpaw_PBE/Re_pv/POTCAR,gga-pbe,Re_pv-gga-pbe,['Re'],13.0,226.216
258,potpaw_PBE/Re_sv_GW/POTCAR,gga-pbe,Re_sv_GW-gga-pbe,['Re'],15.0,317.012
259,potpaw_PBE/Rh/POTCAR,gga-pbe,Rh-gga-pbe,['Rh'],9.0,228.996
260,potpaw_PBE/Rh_GW/POTCAR,gga-pbe,Rh_GW-gga-pbe,['Rh'],9.0,247.408
261,potpaw_PBE/Rh_pv/POTCAR,gga-pbe,Rh_pv-gga-pbe,['Rh'],15.0,247.408
262,potpaw_PBE/Rh_pv_GW/POTCAR,gga-pbe,Rh_pv_GW-gga-pbe,['Rh'],15.0,247.408
263,potpaw_PBE/Rh_sv_GW/POTCAR,gga-pbe,Rh_sv_GW-gga-pbe,['Rh'],17.0,351.206
264,potpaw_PBE/Rn/POTCAR,gga-pbe,Rn-gga-pbe,['Rn'],8.0,152.121
265,potpaw_PBE/Rn_d_GW/POTCAR,gga-pbe,Rn_d_GW-gga-pbe,['Rn'],18.0,268.495
266,potpaw_PBE/Rn_sv_GW/POTCAR,gga-pbe,Rn_sv_GW-gga-pbe,['Rn'],26.0,331.173
267,potpaw_PBE/Ru/POTCAR,gga-pbe,Ru-gga-pbe,['Ru'],8.0,213.271
268,potpaw_PBE/Ru_pv/POTCAR,gga-pbe,Ru_pv-gga-pbe,['Ru'],14.0,240.049
269,potpaw_PBE/Ru_pv_GW/POTCAR,gga-pbe,Ru_pv_GW-gga-pbe,['Ru'],14.0,240.049
270,potpaw_PBE/Ru_sv/POTCAR,gga-pbe,Ru_sv-gga-pbe,['Ru'],16.0,318.855
271,potpaw_PBE/Ru_sv_GW/POTCAR,gga-pbe,Ru_sv_GW-gga-pbe,['Ru'],16.0,348.106
272,potpaw_PBE/S/POTCAR,gga-pbe,S-gga-pbe,['S'],6.0,258.689
273,potpaw_PBE/S_GW/POTCAR,gga-pbe,S_GW-gga-pbe,['S'],6.0,258.689
274,potpaw_PBE/S_h/POTCAR,gga-pbe,S_h-gga-pbe,['S'],6.0,402.436
275,potpaw_PBE/Sb/POTCAR,gga-pbe,Sb-gga-pbe,['Sb'],5.0,172.069
276,potpaw_PBE/Sb_GW/POTCAR,gga-pbe,Sb_GW-gga-pbe,['Sb'],5.0,172.069
277,potpaw_PBE/Sb_d_GW/POTCAR,gga-pbe,Sb_d_GW-gga-pbe,['Sb'],15.0,263.1
278,potpaw_PBE/Sb_sv_GW/POTCAR,gga-pbe,Sb_sv_GW-gga-pbe,['Sb'],23.0,372.491
279,potpaw_PBE/Sc/POTCAR,gga-pbe,Sc-gga-pbe,['Sc'],3.0,154.763
280,potpaw_PBE/Sc_sv/POTCAR,gga-pbe,Sc_sv-gga-pbe,['Sc'],11.0,222.66
281,potpaw_PBE/Sc_sv_GW/POTCAR,gga-pbe,Sc_sv_GW-gga-pbe,['Sc'],11.0,378.961
282,potpaw_PBE/Se/POTCAR,gga-pbe,Se-gga-pbe,['Se'],6.0,211.555
283,potpaw_PBE/Se_GW/POTCAR,gga-pbe,Se_GW-gga-pbe,['Se'],6.0,211.555
284,potpaw_PBE/Se_sv_GW/POTCAR,gga-pbe,Se_sv_GW-gga-pbe,['Se'],24.0,469.344
285,potpaw_PBE/Si/POTCAR,gga-pbe,Si-gga-pbe,['Si'],4.0,245.345
286,potpaw_PBE/Si_GW/POTCAR,gga-pbe,Si_GW-gga-pbe,['Si'],4.0,245.345
287,potpaw_PBE/Si_sv_GW/POTCAR,gga-pbe,Si_sv_GW-gga-pbe,['Si'],12.0,547.578
288,potpaw_PBE/Sm/POTCAR,gga-pbe,Sm-gga-pbe,['Sm'],16.0,257.515
289,potpaw_PBE/Sm_3/POTCAR,gga-pbe,Sm_3-gga-pbe,['Sm'],11.0,177.087
290,potpaw_PBE/Sn/POTCAR,gga-pbe,Sn-gga-pbe,['Sn'],4.0,103.236
291,potpaw_PBE/Sn_d/POTCAR,gga-pbe,Sn_d-gga-pbe,['Sn'],14.0,241.083
292,potpaw_PBE/Sn_d_GW/POTCAR,gga-pbe,Sn_d_GW-gga-pbe,['Sn'],14.0,260.066
293,potpaw_PBE/Sn_sv_GW/POTCAR,gga-pbe,Sn_sv_GW-gga-pbe,['Sn'],22.0,368.778
294,potpaw_PBE/Sr/POTCAR,gga-pbe,Sr-gga-pbe,['Sr'],10.0,229.282
295,potpaw_PBE/Sr_sv/POTCAR,gga-pbe,Sr_sv-gga-pbe,['Sr'],10.0,229.353
296,potpaw_PBE/Sr_sv_GW/POTCAR,gga-pbe,Sr_sv_GW-gga-pbe,['Sr'],10.0,224.817
297,potpaw_PBE/Ta/POTCAR,gga-pbe,Ta-gga-pbe,['Ta'],5.0,223.667
298,potpaw_PBE/Ta_pv/POTCAR,gga-pbe,Ta_pv-gga-pbe,['Ta'],11.0,223.667
299,potpaw_PBE/Ta_sv_GW/POTCAR,gga-pbe,Ta_sv_GW-gga-pbe,['Ta'],13.0,286.008
300,potpaw_PBE/Tb/POTCAR,gga-pbe,Tb-gga-pbe,['Tb'],19.0,264.824
301,potpaw_PBE/Tb_3/POTCAR,gga-pbe,Tb_3-gga-pbe,['Tb'],9.0,155.613
302,potpaw_PBE/Tc/POTCAR,gga-pbe,Tc-gga-pbe,['Tc'],7.0,228.694
303,potpaw_PBE/Tc_pv/POTCAR,gga-pbe,Tc_pv-gga-pbe,['Tc'],13.0,263.523
304,potpaw_PBE/Tc_sv/POTCAR,gga-pbe,Tc_sv-gga-pbe,['Tc'],15.0,318.703
305,potpaw_PBE/Tc_sv_GW/POTCAR,gga-pbe,Tc_sv_GW-gga-pbe,['Tc'],15.0,351.044
306,potpaw_PBE/Te/POTCAR,gga-pbe,Te-gga-pbe,['Te'],6.0,174.982
307,potpaw_PBE/Te_GW/POTCAR,gga-pbe,Te_GW-gga-pbe,['Te'],6.0,174.982
308,potpaw_PBE/Te_sv_GW/POTCAR,gga-pbe,Te_sv_GW-gga-pbe,['Te'],24.0,376.618
309,potpaw_PBE/Th/POTCAR,gga-pbe,Th-gga-pbe,['Th'],12.0,247.306
310,potpaw_PBE/Th_s/POTCAR,gga-pbe,Th_s-gga-pbe,['Th'],10.0,169.363
311,potpaw_PBE/Ti/POTCAR,gga-pbe,Ti-gga-pbe,['Ti'],4.0,178.33
312,potpaw_PBE/Ti_pv/POTCAR,gga-pbe,Ti_pv-gga-pbe,['Ti'],10.0,222.335
313,potpaw_PBE/Ti_sv/POTCAR,gga-pbe,Ti_sv-gga-pbe,['Ti'],12.0,274.61
314,potpaw_PBE/Ti_sv_GW/POTCAR,gga-pbe,Ti_sv_GW-gga-pbe,['Ti'],12.0,383.774
315,potpaw_PBE/Tl/POTCAR,gga-pbe,Tl-gga-pbe,['Tl'],3.0,90.14
316,potpaw_PBE/Tl_d/POTCAR,gga-pbe,Tl_d-gga-pbe,['Tl'],13.0,237.053
317,potpaw_PBE/Tl_d_GW/POTCAR,gga-pbe,Tl_d_GW-gga-pbe,['Tl'],15.0,237.053
318,potpaw_PBE/Tl_sv_GW/POTCAR,gga-pbe,Tl_sv_GW-gga-pbe,['Tl'],21.0,316.583
319,potpaw_PBE/Tm/POTCAR,gga-pbe,Tm-gga-pbe,['Tm'],23.0,257.42
320,potpaw_PBE/Tm_3/POTCAR,gga-pbe,Tm_3-gga-pbe,['Tm'],9.0,149.221
321,potpaw_PBE/U/POTCAR,gga-pbe,U-gga-pbe,['U'],14.0,252.502
322,potpaw_PBE/U_s/POTCAR,gga-pbe,U_s-gga-pbe,['U'],14.0,209.23
323,potpaw_PBE/V/POTCAR,gga-pbe,V-gga-pbe,['V'],5.0,192.543
324,potpaw_PBE/V_pv/POTCAR,gga-pbe,V_pv-gga-pbe,['V'],11.0,263.673
325,potpaw_PBE/V_sv/POTCAR,gga-pbe,V_sv-gga-pbe,['V'],13.0,263.673
326,potpaw_PBE/V_sv_GW/POTCAR,gga-pbe,V_sv_GW-gga-pbe,['V'],13.0,382.321
327,potpaw_PBE/W/POTCAR,gga-pbe,W-gga-pbe,['W'],6.0,223.057
328,potpaw_PBE/W_pv/POTCAR,gga-pbe,W_pv-gga-pbe,['W'],12.0,223.057
329,potpaw_PBE/W_sv/POTCAR,gga-pbe,W_sv-gga-pbe,['W'],14.0,223.057
330,potpaw_PBE/W_sv_GW/POTCAR,gga-pbe,W_sv_GW-gga-pbe,['W'],14.0,317.132
331,potpaw_PBE/Xe/POTCAR,gga-pbe,Xe-gga-pbe,['Xe'],8.0,153.118
332,potpaw_PBE/Xe_GW/POTCAR,gga-pbe,Xe_GW-gga-pbe,['Xe'],8.0,179.547
333,potpaw_PBE/Xe_sv_GW/POTCAR,gga-pbe,Xe_sv_GW-gga-pbe,['Xe'],26.0,400.476
334,potpaw_PBE/Y/POTCAR,gga-pbe,Y-gga-pbe,['Y'],11.0,211.641
335,potpaw_PBE/Y_sv/POTCAR,gga-pbe,Y_sv-gga-pbe,['Y'],11.0,202.626
336,potpaw_PBE/Y_sv_GW/POTCAR,gga-pbe,Y_sv_GW-gga-pbe,['Y'],11.0,339.758
337,potpaw_PBE/Yb/POTCAR,gga-pbe,Yb-gga-pbe,['Yb'],24.0,253.028
338,potpaw_PBE/Yb_2/POTCAR,gga-pbe,Yb_2-gga-pbe,['Yb'],8.0,112.578
339,potpaw_PBE/Yb_3/POTCAR,gga-pbe,Yb_3-gga-pbe,['Yb'],9.0,188.359
340,potpaw_PBE/Zn/POTCAR,gga-pbe,Zn-gga-pbe,['Zn'],12.0,276.723
341,potpaw_PBE/Zn_GW/POTCAR,gga-pbe,Zn_GW-gga-pbe,['Zn'],12.0,328.191
342,potpaw_PBE/Zn_pv_GW/POTCAR,gga-pbe,Zn_pv_GW-gga-pbe,['Zn'],18.0,360.246
343,potpaw_PBE/Zn_sv_GW/POTCAR,gga-pbe,Zn_sv_GW-gga-pbe,['Zn'],20.0,401.665
344,potpaw_PBE/Zr/POTCAR,gga-pbe,Zr-gga-pbe,['Zr'],4.0,154.632
345,potpaw_PBE/Zr_sv/POTCAR,gga-pbe,Zr_sv-gga-pbe,['Zr'],12.0,229.898
346,potpaw_PBE/Zr_sv_GW/POTCAR,gga-pbe,Zr_sv_GW-gga-pbe,['Zr'],12.0,346.364
347,potpaw/Ac/POTCAR,lda,Ac-lda,['Ac'],11.0,170.048
348,potpaw/Ag/POTCAR,lda,Ag-lda,['Ag'],11.0,249.752
349,potpaw/Ag_GW/POTCAR,lda,Ag_GW-lda,['Ag'],11.0,249.752
350,potpaw/Ag_pv/POTCAR,lda,Ag_pv-lda,['Ag'],17.0,297.68
351,potpaw/Ag_sv_GW/POTCAR,lda,Ag_sv_GW-lda,['Ag'],19.0,354.226
352,potpaw/Al/POTCAR,lda,Al-lda,['Al'],3.0,240.957
353,potpaw/Al_GW/POTCAR,lda,Al_GW-lda,['Al'],3.0,240.957
354,potpaw/Al_sv_GW/POTCAR,lda,Al_sv_GW-lda,['Al'],11.0,411.007
355,potpaw/Am/POTCAR,lda,Am-lda,['Am'],17.0,255.953
356,potpaw/Ar/POTCAR,lda,Ar-lda,['Ar'],8.0,266.101
357,potpaw/Ar_GW/POTCAR,lda,Ar_GW-lda,['Ar'],8.0,290.518
358,potpaw/As/POTCAR,lda,As-lda,['As'],5.0,208.87
359,potpaw/As_GW/POTCAR,lda,As_GW-lda,['As'],5.0,208.87
360,potpaw/As_d/POTCAR,lda,As_d-lda,['As'],15.0,288.762
361,potpaw/As_sv_GW/POTCAR,lda,As_sv_GW-lda,['As'],23.0,415.514
362,potpaw/At/POTCAR,lda,At-lda,['At'],7.0,161.481
363,potpaw/At_d/POTCAR,lda,At_d-lda,['At'],17.0,266.303
364,potpaw/At_d_GW/POTCAR,lda,At_d_GW-lda,['At'],17.0,266.303
365,potpaw/At_sv_GW/POTCAR,lda,At_sv_GW-lda,['At'],25.0,328.597
366,potpaw/Au/POTCAR,lda,Au-lda,['Au'],11.0,229.869
367,potpaw/Au_GW/POTCAR,lda,Au_GW-lda,['Au'],11.0,248.263
368,potpaw/Au_pv_GW/POTCAR,lda,Au_pv_GW-lda,['Au'],17.0,248.263
369,potpaw/Au_sv_GW/POTCAR,lda,Au_sv_GW-lda,['Au'],19.0,306.52
370,potpaw/B/POTCAR,lda,B-lda,['B'],3.0,318.762
371,potpaw/B_GW/POTCAR,lda,B_GW-lda,['B'],3.0,318.762
372,potpaw/B_h/POTCAR,lda,B_h-lda,['B'],3.0,700.0
373,potpaw/B_s/POTCAR,lda,B_s-lda,['B'],3.0,269.251
374,potpaw/Ba/POTCAR,lda,Ba-lda,['Ba'],10.0,186.981
375,potpaw/Ba_sv/POTCAR,lda,Ba_sv-lda,['Ba'],10.0,186.981
376,potpaw/Ba_sv_GW/POTCAR,lda,Ba_sv_GW-lda,['Ba'],10.0,237.484
377,potpaw/Be/POTCAR,lda,Be-lda,['Be'],2.0,247.951
378,potpaw/Be_GW/POTCAR,lda,Be_GW-lda,['Be'],2.0,247.951
379,potpaw/Be_sv/POTCAR,lda,Be_sv-lda,['Be'],4.0,308.45
380,potpaw/Be_sv_GW/POTCAR,lda,Be_sv_GW-lda,['Be'],4.0,536.216
381,potpaw/Bi/POTCAR,lda,Bi-lda,['Bi'],5.0,105.071
382,potpaw/Bi_GW/POTCAR,lda,Bi_GW-lda,['Bi'],5.0,146.628
383,potpaw/Bi_d/POTCAR,lda,Bi_d-lda,['Bi'],15.0,242.856
384,potpaw/Bi_d_GW/POTCAR,lda,Bi_d_GW-lda,['Bi'],17.0,261.89
385,potpaw/Bi_sv_GW/POTCAR,lda,Bi_sv_GW-lda,['Bi'],23.0,323.502
386,potpaw/Br/POTCAR,lda,Br-lda,['Br'],7.0,216.224
387,potpaw/Br_GW/POTCAR,lda,Br_GW-lda,['Br'],7.0,216.224
388,potpaw/Br_sv_GW/POTCAR,lda,Br_sv_GW-lda,['Br'],25.0,475.88
389,potpaw/C/POTCAR,lda,C-lda,['C'],4.0,400.0
390,potpaw/C_GW/POTCAR,lda,C_GW-lda,['C'],4.0,413.992
391,potpaw/C_GW_new/POTCAR,lda,C_GW_new-lda,['C'],4.0,413.992
392,potpaw/C_h/POTCAR,lda,C_h-lda,['C'],4.0,700.0
393,potpaw/C_h_GW/POTCAR,lda,C_h_GW-lda,['C'],4.0,742.464
394,potpaw/C_s/POTCAR,lda,C_s-lda,['C'],4.0,273.704
395,potpaw/Ca/POTCAR,lda,Ca-lda,['Ca'],10.0,266.727
396,potpaw/Ca_pv/POTCAR,lda,Ca_pv-lda,['Ca'],8.0,119.552
397,potpaw/Ca_sv/POTCAR,lda,Ca_sv-lda,['Ca'],10.0,266.727
398,potpaw/Ca_sv_GW/POTCAR,lda,Ca_sv_GW-lda,['Ca'],10.0,281.209
399,potpaw/Cd/POTCAR,lda,Cd-lda,['Cd'],12.0,274.265
400,potpaw/Cd_GW/POTCAR,lda,Cd_GW-lda,['Cd'],12.0,253.99
401,potpaw/Cd_pv_GW/POTCAR,lda,Cd_pv_GW-lda,['Cd'],18.0,396.576
402,potpaw/Cd_sv_GW/POTCAR,lda,Cd_sv_GW-lda,['Cd'],20.0,361.653
403,potpaw/Ce/POTCAR,lda,Ce-lda,['Ce'],12.0,273.088
404,potpaw/Ce_GW/POTCAR,lda,Ce_GW-lda,['Ce'],12.0,304.649
405,potpaw/Ce_h/POTCAR,lda,Ce_h-lda,['Ce'],12.0,299.927
406,potpaw/Cl/POTCAR,lda,Cl-lda,['Cl'],7.0,262.25
407,potpaw/Cl_GW/POTCAR,lda,Cl_GW-lda,['Cl'],7.0,262.25
408,potpaw/Cl_h/POTCAR,lda,Cl_h-lda,['Cl'],7.0,409.272
409,potpaw/Cm/POTCAR,lda,Cm-lda,['Cm'],18.0,258.027
410,potpaw/Co/POTCAR,lda,Co-lda,['Co'],9.0,268.056
411,potpaw/Co_GW/POTCAR,lda,Co_GW-lda,['Co'],9.0,323.447
412,potpaw/Co_pv/POTCAR,lda,Co_pv-lda,['Co'],15.0,270.871
413,potpaw/Co_sv/POTCAR,lda,Co_sv-lda,['Co'],17.0,390.343
414,potpaw/Co_sv_GW/POTCAR,lda,Co_sv_GW-lda,['Co'],17.0,387.407
415,potpaw/Cr/POTCAR,lda,Cr-lda,['Cr'],6.0,227.202
416,potpaw/Cr_pv/POTCAR,lda,Cr_pv-lda,['Cr'],12.0,265.753
417,potpaw/Cr_sv/POTCAR,lda,Cr_sv-lda,['Cr'],14.0,395.443
418,potpaw/Cr_sv_GW/POTCAR,lda,Cr_sv_GW-lda,['Cr'],14.0,384.753
419,potpaw/Cs/POTCAR,lda,Cs-lda,['Cs'],9.0,220.727
420,potpaw/Cs_sv/POTCAR,lda,Cs_sv-lda,['Cs'],9.0,220.727
421,potpaw/Cs_sv_GW/POTCAR,lda,Cs_sv_GW-lda,['Cs'],9.0,198.012
422,potpaw/Cu/POTCAR,lda,Cu-lda,['Cu'],11.0,295.521
423,potpaw/Cu_GW/POTCAR,lda,Cu_GW-lda,['Cu'],11.0,417.032
424,potpaw/Cu_pv/POTCAR,lda,Cu_pv-lda,['Cu'],17.0,368.406
425,potpaw/Cu_pv_GW/POTCAR,lda,Cu_pv_GW-lda,['Cu'],17.0,466.991
426,potpaw/Cu_sv_GW/POTCAR,lda,Cu_sv_GW-lda,['Cu'],19.0,391.702
427,potpaw/F/POTCAR,lda,F-lda,['F'],7.0,400.0
428,potpaw/F_GW/POTCAR,lda,F_GW-lda,['F'],7.0,487.335
429,potpaw/F_GW_new/POTCAR,lda,F_GW_new-lda,['F'],7.0,487.335
430,potpaw/F_h/POTCAR,lda,F_h-lda,['F'],7.0,772.351
431,potpaw/F_h_GW/POTCAR,lda,F_h_GW-lda,['F'],7.0,847.822
432,potpaw/F_s/POTCAR,lda,F_s-lda,['F'],7.0,289.647
433,potpaw/Fe/POTCAR,lda,Fe-lda,['Fe'],8.0,267.969
434,potpaw/Fe_GW/POTCAR,lda,Fe_GW-lda,['Fe'],8.0,321.044
435,potpaw/Fe_pv/POTCAR,lda,Fe_pv-lda,['Fe'],14.0,293.303
436,potpaw/Fe_sv/POTCAR,lda,Fe_sv-lda,['Fe'],16.0,390.513
437,potpaw/Fe_sv_GW/POTCAR,lda,Fe_sv_GW-lda,['Fe'],16.0,387.727
438,potpaw/Fr_sv/POTCAR,lda,Fr_sv-lda,['Fr'],9.0,214.489
439,potpaw/Ga/POTCAR,lda,Ga-lda,['Ga'],3.0,134.8
440,potpaw/Ga_GW/POTCAR,lda,Ga_GW-lda,['Ga'],3.0,134.8
441,potpaw/Ga_d/POTCAR,lda,Ga_d-lda,['Ga'],13.0,282.829
442,potpaw/Ga_d_GW/POTCAR,lda,Ga_d_GW-lda,['Ga'],13.0,404.723
443,potpaw/Ga_h/POTCAR,lda,Ga_h-lda,['Ga'],13.0,404.723
444,potpaw/Ga_pv_GW/POTCAR,lda,Ga_pv_GW-lda,['Ga'],19.0,422.753
445,potpaw/Ga_sv_GW/POTCAR,lda,Ga_sv_GW-lda,['Ga'],21.0,404.723
446,potpaw/Ge/POTCAR,lda,Ge-lda,['Ge'],4.0,173.969
447,potpaw/Ge_GW/POTCAR,lda,Ge_GW-lda,['Ge'],4.0,173.969
448,potpaw/Ge_d/POTCAR,lda,Ge_d-lda,['Ge'],14.0,310.448
449,potpaw/Ge_d_GW/POTCAR,lda,Ge_d_GW-lda,['Ge'],14.0,375.614
450,potpaw/Ge_h/POTCAR,lda,Ge_h-lda,['Ge'],14.0,410.604
451,potpaw/Ge_sv_GW/POTCAR,lda,Ge_sv_GW-lda,['Ge'],22.0,410.604
452,potpaw/H/POTCAR,lda,H-lda,['H'],1.0,250.0
453,potpaw/H.25/POTCAR,lda,H.25-lda,['H.25'],0.25,250.0
454,potpaw/H.33/POTCAR,lda,H.33-lda,['H.33'],0.33,250.0
455,potpaw/H.42/POTCAR,lda,H.42-lda,['H.42'],0.42,250.0
456,potpaw/H.5/POTCAR,lda,H.5-lda,['H.5'],0.5,250.0
457,potpaw/H.58/POTCAR,lda,H.58-lda,['H.58'],0.58,250.0
458,potpaw/H.66/POTCAR,lda,H.66-lda,['H.66'],0.66,250.0
459,potpaw/H.75/POTCAR,lda,H.75-lda,['H.75'],0.75,250.0
460,potpaw/H1.25/POTCAR,lda,H1.25-lda,['H1.25'],1.25,250.0
461,potpaw/H1.33/POTCAR,lda,H1.33-lda,['H1.33'],1.33,250.0
462,potpaw/H1.5/POTCAR,lda,H1.5-lda,['H1.5'],1.5,250.0
463,potpaw/H1.66/POTCAR,lda,H1.66-lda,['H1.66'],1.66,250.0
464,potpaw/H1.75/POTCAR,lda,H1.75-lda,['H1.75'],1.75,250.0
465,potpaw/H_AE/POTCAR,lda,H_AE-lda,['H'],1.0,1000.0
466,potpaw/H_GW/POTCAR,lda,H_GW-lda,['H'],1.0,300.0
467,potpaw/H_h/POTCAR,lda,H_h-lda,['H'],1.0,700.0
468,potpaw/H_h_GW/POTCAR,lda,H_h_GW-lda,['H'],1.0,700.0
469,potpaw/H_s/POTCAR,lda,H_s-lda,['H'],1.0,200.0
470,potpaw/He/POTCAR,lda,He-lda,['He'],2.0,477.779
471,potpaw/He_GW/POTCAR,lda,He_GW-lda,['He'],2.0,404.806
472,potpaw/Hf/POTCAR,lda,Hf-lda,['Hf'],4.0,220.431
473,potpaw/Hf_pv/POTCAR,lda,Hf_pv-lda,['Hf'],10.0,220.431
474,potpaw/Hf_sv/POTCAR,lda,Hf_sv-lda,['Hf'],12.0,237.414
475,potpaw/Hf_sv_GW/POTCAR,lda,Hf_sv_GW-lda,['Hf'],12.0,282.716
476,potpaw/Hg/POTCAR,lda,Hg-lda,['Hg'],12.0,233.142
477,potpaw/Hg_sv_GW/POTCAR,lda,Hg_sv_GW-lda,['Hg'],20.0,311.949
478,potpaw/I/POTCAR,lda,I-lda,['I'],7.0,175.712
479,potpaw/I_GW/POTCAR,lda,I_GW-lda,['I'],7.0,175.712
480,potpaw/I_sv_GW/POTCAR,lda,I_sv_GW-lda,['I'],25.0,381.757
481,potpaw/In/POTCAR,lda,In-lda,['In'],3.0,96.062
482,potpaw/In_d/POTCAR,lda,In_d-lda,['In'],13.0,239.196
483,potpaw/In_d_GW/POTCAR,lda,In_d_GW-lda,['In'],13.0,278.582
484,potpaw/In_sv_GW/POTCAR,lda,In_sv_GW-lda,['In'],21.0,366.636
485,potpaw/Ir/POTCAR,lda,Ir-lda,['Ir'],9.0,210.837
486,potpaw/Ir_sv_GW/POTCAR,lda,Ir_sv_GW-lda,['Ir'],17.0,319.708
487,potpaw/K/POTCAR,lda,K-lda,['K'],9.0,259.28
488,potpaw/K_pv/POTCAR,lda,K_pv-lda,['K'],7.0,116.596
489,potpaw/K_sv/POTCAR,lda,K_sv-lda,['K'],9.0,259.279
490,potpaw/K_sv_GW/POTCAR,lda,K_sv_GW-lda,['K'],9.0,248.606
491,potpaw/Kr/POTCAR,lda,Kr-lda,['Kr'],8.0,185.392
492,potpaw/Kr_GW/POTCAR,lda,Kr_GW-lda,['Kr'],8.0,252.563
493,potpaw/La/POTCAR,lda,La-lda,['La'],11.0,219.044
494,potpaw/La_GW/POTCAR,lda,La_GW-lda,['La'],11.0,313.728
495,potpaw/La_s/POTCAR,lda,La_s-lda,['La'],9.0,136.594
496,potpaw/Li/POTCAR,lda,Li-lda,['Li'],1.0,140.0
497,potpaw/Li_AE_GW/POTCAR,lda,Li_AE_GW-lda,['Li'],3.0,433.253
498,potpaw/Li_GW/POTCAR,lda,Li_GW-lda,['Li'],1.0,112.417
499,potpaw/Li_sv/POTCAR,lda,Li_sv-lda,['Li'],3.0,498.387
500,potpaw/Li_sv_GW/POTCAR,lda,Li_sv_GW-lda,['Li'],3.0,433.253
501,potpaw/Mg/POTCAR,lda,Mg-lda,['Mg'],2.0,200.0
502,potpaw/Mg_GW/POTCAR,lda,Mg_GW-lda,['Mg'],2.0,126.671
503,potpaw/Mg_pv/POTCAR,lda,Mg_pv-lda,['Mg'],8.0,403.538
504,potpaw/Mg_pv_GW/POTCAR,lda,Mg_pv_GW-lda,['Mg'],8.0,403.538
505,potpaw/Mg_sv/POTCAR,lda,Mg_sv-lda,['Mg'],10.0,473.54
506,potpaw/Mg_sv_GW/POTCAR,lda,Mg_sv_GW-lda,['Mg'],10.0,430.099
507,potpaw/Mn/POTCAR,lda,Mn-lda,['Mn'],7.0,269.944
508,potpaw/Mn_GW/POTCAR,lda,Mn_GW-lda,['Mn'],7.0,278.537
509,potpaw/Mn_pv/POTCAR,lda,Mn_pv-lda,['Mn'],13.0,269.944
510,potpaw/Mn_sv/POTCAR,lda,Mn_sv-lda,['Mn'],15.0,387.112
511,potpaw/Mn_sv_GW/POTCAR,lda,Mn_sv_GW-lda,['Mn'],15.0,384.488
512,potpaw/Mo/POTCAR,lda,Mo-lda,['Mo'],6.0,224.535
513,potpaw/Mo_pv/POTCAR,lda,Mo_pv-lda,['Mo'],12.0,224.535
514,potpaw/Mo_sv/POTCAR,lda,Mo_sv-lda,['Mo'],14.0,236.514
515,potpaw/Mo_sv_GW/POTCAR,lda,Mo_sv_GW-lda,['Mo'],14.0,344.65
516,potpaw/N/POTCAR,lda,N-lda,['N'],5.0,400.0
517,potpaw/N_GW/POTCAR,lda,N_GW-lda,['N'],5.0,420.681
518,potpaw/N_GW_new/POTCAR,lda,N_GW_new-lda,['N'],5.0,420.681
519,potpaw/N_h/POTCAR,lda,N_h-lda,['N'],5.0,700.0
